"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\sleepless-awake-worry-wake-up-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 13
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\video.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\wake.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 0, 23
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\assets\website.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\data\countries.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 0, 0, 2, 173
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useCalendarScrollPersistence.js.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 1, 9, 40
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useDraggableElements.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 63, 27, 144
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useFetchAllData.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 13, 51
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\usePayment.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 20, 20, 101
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useRandomisedSettings.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 30, 20, 91
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useSocket.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 72, 36, 165
"c:\Users\maaji\OneDrive\Desktop\Jarvis-FrontEnd\Hey-Jarvis-FrontEnd\jarvis-frontend\src\hooks\useUpcomingTodoEvents.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 2, 8, 43
